"FID"	"phen"	"x"	"y"	"n_eggs_max"	"pldens_3"	"phen_n3"
4311	2	1499935.823	-34.26065875	0	18.0228187344	3.60749506903353
4312	6	1499935.224	-35.24914406	0	10.9843214772	3.60194174757282
4313	2	1499935.112	-35.06711037	0	11.4108970685	3.621875
4314	2	1499935.112	-35.06711037	0	11.4108970685	3.621875
4315	2	1499935.023	-34.9993769	0	11.8730206258	3.60909090909091
4316	1	1499935.023	-34.9993769	0	11.8730206258	3.61212121212121
4317	4	1499935.023	-34.9993769	0	11.8730206258	3.6030303030303
4318	2	1499935.023	-34.9993769	0	11.8730206258	3.60909090909091
4319	4	1499934.873	-34.90201004	0	12.5128840128	3.57428571428571
4320	5	1499934.875	-34.99302689	0	11.9441165577	3.58258258258258
4321	4	1499934.553	-34.44692579	0	14.1125424804	3.50629722921914
4322	4	1499934.553	-34.44692579	0	14.1125424804	3.50629722921914
4323	1	1499934.553	-34.44692579	0	14.1125424804	3.51385390428212
4324	4	1499934.267	-34.89354335	0	10.6999377496	3.54
4325	4	1499934.17	-34.34744226	0	13.8281587528	3.46113989637306
4326	4	1499934.17	-34.34744226	0	13.8281587528	3.46113989637306
4327	5	1499934.049	-34.33685891	0	13.1882953658	3.50540540540541
4328	3	1499934.049	-34.33685891	0	13.1882953658	3.51081081081081
4329	5	1499933.996	-34.33262556	0	13.1171994339	3.51490514905149
4330	5	1499933.95	-34.34320892	0	12.8328157063	3.51810584958217
4331	4	1499933.95	-34.34320892	0	12.8328157063	3.52089136490251
4332	4	1499933.975	-34.49560922	0	12.0863084215	3.57530120481928
4333	1	1499933.975	-34.49560922	0	12.0863084215	3.58433734939759
4334	4	1499933.975	-34.49560922	0	12.0863084215	3.57530120481928
4335	2	1499933.975	-34.49560922	0	12.0863084215	3.58132530120482
4336	2	1499934.026	-34.55699268	0	11.5886368982	3.56965944272446
4337	4	1499934.026	-34.55699268	0	11.5886368982	3.56346749226006
4338	4	1499934.026	-34.55699268	0	11.5886368982	3.56346749226006
4339	4	1499934.026	-34.55699268	0	11.5886368982	3.56346749226006
4340	5	1499933.675	-34.46597583	0	11.3398011366	3.55974842767296
4341	3	1499933.418	-34.3516756	0	11.0554174091	3.50322580645161
